product,product_uom_qty,name,location_dest_id/id,location_id/id,product_uom/id
ARAL BLUE TRONIC SAE 10/40 LITER,56,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
ARAL HIGH TRONIC SAE 5/30 LITER,73,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
ARAL TOP ATF LITER,2,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BM 1 SYNTETIC  OIL PC 3000 SAE 15/50 LITER,39,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BM 1 SYNTETIC DIESEL OIL PC 4000,22,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BM 1 SYNTETIC MOTOR OIL SAE 10/40 LITER,16,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI CHAMPION F 14 Y,2,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI CHAMPION RN 9 YC,3,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI DAIHATSU BKUR6EK,8,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI DAIHATSU K20TNR-S,10,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI DENSO INDIRUM IW16#4 5305 # 4,4,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI DENSO K16PR-U11,0,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI DENSO K16R-U,2,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI DENSO K20HR-U11,12,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI DENSO K20PR-U,2,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI DENSO K20PRU-11,0,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI DENSO K20PR-U11,31,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI DENSO K20TNR-S,16,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI DENSO KJ20CR-L11,36,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI DENSO W16EXR-U11,0,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI DENSO W16EX-U,10,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI DENSO W20EP-U,17,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI DENSO W20EX-U,27,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI DENSO XU22PR9,30,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI FORD AYFS22CB,8,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI FORD YF10-18-110,8,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI FORD ZZC2-18-110A,8,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI HONDA 98079-5514G ZFR5F-11,5,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI NGK BKR5E,11,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI NGK BKR5E-11,15,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI NGK BKR6E,6,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI NGK BKR6E-11,23,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
BUSI NGK BP5ES,18,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
